,Date,Day,Month,Year,DayOfWeek,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,H14,A14,Attendance,Strictness,Season,Round,Hpts,Apts,HTS,ATS,HGSR,AGSR,Home_DS,Away_DS,Home_Form_Points,Away_Form_Points,Home_Goal_Diff_Form,Away_Goal_Diff_Form,Home_Win_Streak,Away_Win_Streak,Home_H2H_Win_Rate,Away_H2H_Win_Rate,HTV($m),ATV($m),HTPos_avg,ATPos_avg,HSPE (%),HPE (%),ASPE (%),APE (%)
10,21/08/2000,21,8,2000,2,Arsenal,Liverpool,2.0,0.0,H,1.0,0.0,H,G Poll,17.0,7.0,12.0,4.0,10.0,11.0,25.0,20.0,2.0,4.0,1.0,2.0,1,1,"38,014",12.258064516129000,2000,2,0,3,0.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0,-1.0,1.0,0,1,0.0,0.0,,,,,,,,
11,22/08/2000,22,8,2000,3,Bradford,Chelsea,2.0,0.0,H,1.0,0.0,H,M Halsey,12.0,14.0,3.0,6.0,6.0,4.0,14.0,16.0,0.0,1.0,0.0,0.0,1,1,"17,872",8.69433962264151,2000,2,0,3,0.0,3.0,0.0,4.0,1.0,2.0,0.0,3.0,-1.0,2.0,0,1,0.0,0.0,,,,,,,,
12,22/08/2000,22,8,2000,3,Ipswich,Man United,1.0,1.0,D,1.0,1.0,D,J Winter,13.0,15.0,8.0,6.0,4.0,6.0,10.0,7.0,1.0,4.0,0.0,0.0,1,1,"22,007",9.333333333333330,2000,2,0,3,0.0,3.0,1.0,2.0,3.0,0.0,0.0,3.0,-2.0,2.0,0,1,0.0,0.0,,,,,,,,
13,22/08/2000,22,8,2000,3,Middlesbrough,Tottenham,1.0,1.0,D,0.0,1.0,A,P Jones,12.0,11.0,6.0,4.0,5.0,5.0,9.0,18.0,2.0,1.0,0.0,0.0,1,1,"31,254",13.10344827586210,2000,2,3,3,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,1,1,0.0,0.0,,,,,,,,
14,23/08/2000,23,8,2000,4,Everton,Charlton,3.0,0.0,H,0.0,0.0,D,A Hall,13.0,8.0,8.0,4.0,3.0,5.0,17.0,15.0,2.0,1.0,0.0,1.0,1,1,"36,300",12.0,2000,2,0,3,0.0,3.0,0.0,4.0,2.0,0.0,0.0,3.0,-2.0,4.0,0,1,0.0,0.0,,,,,,,,
15,23/08/2000,23,8,2000,4,Man City,Sunderland,4.0,2.0,H,2.0,0.0,H,D Ellaray,15.0,9.0,10.0,4.0,7.0,3.0,24.0,14.0,3.0,3.0,0.0,0.0,1,1,"34,410",12.571428571428600,2000,2,0,3,0.0,3.0,0.0,1.0,4.0,0.0,0.0,3.0,-4.0,1.0,0,1,0.0,0.0,,,,,,,,
16,23/08/2000,23,8,2000,4,Newcastle,Derby,3.0,2.0,H,1.0,1.0,D,D Gallagher,9.0,10.0,4.0,5.0,9.0,6.0,23.0,11.0,0.0,3.0,1.0,0.0,1,1,"51,327",10.11023622047240,2000,2,0,1,0.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,-2.0,0.0,0,0,0.0,0.0,,,,,,,,
17,23/08/2000,23,8,2000,4,Southampton,Coventry,1.0,2.0,A,0.0,1.0,A,F Taylor,12.0,7.0,4.0,5.0,6.0,5.0,18.0,20.0,5.0,3.0,0.0,0.0,1,1,"14,801",32.0,2000,2,1,0,1.0,0.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,-2.0,0,0,0.0,0.0,,,,,,,,
18,23/08/2000,23,8,2000,4,West Ham,Leicester,0.0,1.0,A,0.0,0.0,D,R Styles,17.0,4.0,12.0,2.0,11.0,5.0,16.0,14.0,3.0,3.0,1.0,0.0,1,1,"25,195",13.308056872037900,2000,2,0,1,0.0,1.0,2.0,0.0,4.0,0.0,0.0,1.0,-2.0,0.0,0,0,0.0,0.0,,,,,,,,
19,26/08/2000,26,8,2000,7,Arsenal,Charlton,5.0,3.0,H,1.0,2.0,A,S Lodge,18.0,7.0,9.0,4.0,8.0,3.0,12.0,15.0,0.0,1.0,0.0,0.0,2,2,"38,025",11.555555555555600,2000,2,0,3,1.5,1.5,1.0,2.0,0.5,1.5,1.5,1.5,1.0,1.0,1,0,0.0,0.0,,,,,,,,
20,26/08/2000,26,8,2000,7,Bradford,Leicester,0.0,0.0,D,0.0,0.0,D,S Bennett,8.0,13.0,4.0,8.0,6.0,8.0,11.0,12.0,1.0,2.0,0.0,0.0,2,2,"16,766",13.553719008264500,2000,3,3,4,1.5,2.0,1.0,0.5,0.5,0.0,1.5,2.0,1.0,1.0,1,1,0.0,0.0,,,,,,,,
21,26/08/2000,26,8,2000,7,Everton,Derby,2.0,2.0,D,2.0,0.0,H,M Riley,12.0,7.0,9.0,4.0,11.0,2.0,11.0,9.0,2.0,3.0,0.0,0.0,2,2,"34,840",14.965853658536600,2000,3,3,1,1.5,0.5,1.5,2.0,1.0,2.5,1.5,0.5,1.0,-1.0,1,0,0.0,0.0,,,,,,,,
22,26/08/2000,26,8,2000,7,Ipswich,Sunderland,1.0,0.0,H,0.0,0.0,D,G Poll,14.0,9.0,5.0,3.0,7.0,6.0,10.0,12.0,1.0,1.0,0.0,0.0,2,2,"21,830",12.258064516129000,2000,3,1,3,0.5,1.5,1.0,1.5,2.0,2.0,0.5,1.5,-2.0,-1.0,0,0,0.0,0.0,,,,,,,,
23,26/08/2000,26,8,2000,7,Man City,Coventry,1.0,2.0,A,0.0,2.0,A,A D'Urso,14.0,9.0,5.0,8.0,5.0,5.0,7.0,12.0,2.0,3.0,0.0,0.0,2,2,"34,140",12.565656565656600,2000,3,3,3,1.5,1.5,2.0,1.5,3.0,2.0,1.5,1.5,-2.0,-1.0,1,1,0.0,0.0,,,,,,,,
24,26/08/2000,26,8,2000,7,Middlesbrough,Leeds,1.0,2.0,A,0.0,2.0,A,G Barber,15.0,16.0,8.0,11.0,4.0,8.0,12.0,20.0,2.0,0.0,0.0,0.0,2,1,"31,626",13.64102564102560,2000,3,4,3,2.0,3.0,2.0,2.0,1.0,0.0,2.0,3.0,2.0,2.0,0,1,0.0,0.0,,,,,,,,
25,26/08/2000,26,8,2000,7,Newcastle,Tottenham,2.0,0.0,H,1.0,0.0,H,D Ellaray,15.0,10.0,6.0,2.0,4.0,2.0,13.0,10.0,0.0,0.0,0.0,0.0,2,2,"51,573",12.571428571428600,2000,3,3,4,1.5,2.0,1.5,2.0,2.0,1.0,1.5,2.0,-1.0,2.0,1,0,0.0,0.0,,,,,,,,
26,26/08/2000,26,8,2000,7,Southampton,Liverpool,3.0,3.0,D,0.0,1.0,A,J Winter,14.0,9.0,7.0,4.0,7.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,2,2,"15,202",9.333333333333330,2000,3,1,3,0.5,1.5,1.5,0.5,2.0,1.0,0.5,1.5,-1.0,-1.0,0,0,0.0,0.0,,,,,,,,
27,26/08/2000,26,8,2000,7,West Ham,Man United,2.0,2.0,D,0.0,1.0,A,D Gallagher,17.0,8.0,8.0,5.0,7.0,5.0,12.0,9.0,1.0,0.0,0.0,0.0,2,2,"25,988",10.11023622047240,2000,3,0,4,0.0,2.0,1.0,1.5,2.5,0.5,0.0,2.0,-3.0,2.0,0,0,0.0,0.0,,,,,,,,
28,27/08/2000,27,8,2000,1,Aston Villa,Chelsea,1.0,1.0,D,1.0,1.0,D,P Durkin,12.0,11.0,9.0,7.0,7.0,10.0,13.0,12.0,0.0,1.0,0.0,0.0,1,2,"27,057",8.818181818181820,2000,3,1,3,1.0,1.5,0.0,2.0,0.0,2.0,1.0,1.5,0.0,0.0,0,0,0.0,0.0,,,,,,,,
29,05/09/2000,5,9,2000,3,Leeds,Man City,1.0,2.0,A,0.0,2.0,A,G Poll,6.0,8.0,1.0,3.0,9.0,4.0,18.0,24.0,2.0,2.0,0.0,0.0,1,2,"40,055",12.258064516129000,2000,3,3,3,3.0,1.0,2.0,1.6666666666666700,0.5,2.6666666666666700,3.0,1.0,3.0,-3.0,2,0,0.0,0.0,,,,,,,,
30,05/09/2000,5,9,2000,3,Man United,Bradford,6.0,0.0,H,2.0,0.0,H,I Harris,21.0,6.0,12.0,4.0,5.0,1.0,12.0,10.0,0.0,1.0,0.0,0.0,2,2,"66,447",4.0,2000,4,5,4,1.6666666666666700,1.3333333333333300,1.6666666666666700,0.6666666666666670,1.0,0.3333333333333330,1.6666666666666700,1.3333333333333300,2.0,1.0,0,0,0.0,0.0,,,,,,,,
31,05/09/2000,5,9,2000,3,Sunderland,West Ham,1.0,1.0,D,1.0,1.0,D,P Jones,17.0,16.0,7.0,9.0,4.0,11.0,19.0,14.0,2.0,3.0,0.0,0.0,2,2,"46,605",13.10344827586210,2000,4,3,1,1.0,0.3333333333333330,1.0,1.3333333333333300,1.6666666666666700,2.3333333333333300,1.0,0.3333333333333330,-2.0,-3.0,0,0,0.0,0.0,,,,,,,,
32,05/09/2000,5,9,2000,3,Tottenham,Everton,3.0,2.0,H,1.0,2.0,A,B Knight,11.0,11.0,7.0,6.0,7.0,5.0,11.0,10.0,1.0,2.0,0.0,0.0,2,2,"35,316",12.253968253968300,2000,4,4,4,1.3333333333333300,1.3333333333333300,1.3333333333333300,1.6666666666666700,1.3333333333333300,1.3333333333333300,1.3333333333333300,1.3333333333333300,0.0,1.0,0,0,0.0,0.0,,,,,,,,
33,06/09/2000,6,9,2000,4,Charlton,Southampton,1.0,1.0,D,0.0,0.0,D,M Halsey,8.0,11.0,6.0,3.0,10.0,14.0,14.0,16.0,3.0,3.0,1.0,0.0,2,2,"20,043",8.69433962264151,2000,4,3,2,1.0,0.6666666666666670,2.3333333333333300,2.0,2.6666666666666700,2.3333333333333300,1.0,0.6666666666666670,-1.0,-1.0,0,0,0.0,0.0,,,,,,,,
34,06/09/2000,6,9,2000,4,Chelsea,Arsenal,2.0,2.0,D,1.0,0.0,H,M Riley,12.0,13.0,5.0,5.0,7.0,6.0,16.0,22.0,3.0,1.0,0.0,0.0,1,1,"34,923",14.965853658536600,2000,4,4,3,1.3333333333333300,2.0,1.6666666666666700,2.3333333333333300,1.6666666666666700,1.3333333333333300,1.3333333333333300,2.0,0.0,3.0,0,2,0.0,0.0,,,,,,,,
35,06/09/2000,6,9,2000,4,Coventry,Newcastle,0.0,2.0,A,0.0,1.0,A,A Wiley,13.0,13.0,3.0,6.0,6.0,8.0,11.0,18.0,1.0,1.0,0.0,0.0,2,2,"22,109",12.11111111111110,2000,4,6,6,2.0,2.0,1.6666666666666700,1.6666666666666700,1.6666666666666700,1.3333333333333300,2.0,2.0,0.0,1.0,2,2,0.0,0.0,,,,,,,,
36,06/09/2000,6,9,2000,4,Derby,Middlesbrough,3.0,3.0,D,0.0,1.0,A,R Styles,9.0,5.0,5.0,4.0,11.0,5.0,8.0,10.0,3.0,2.0,0.0,0.0,2,1,"24,290",13.308056872037900,2000,4,2,4,0.6666666666666670,1.3333333333333300,2.0,1.6666666666666700,2.3333333333333300,1.3333333333333300,0.6666666666666670,1.3333333333333300,-1.0,1.0,0,0,0.0,0.0,,,,,,,,
37,06/09/2000,6,9,2000,4,Leicester,Ipswich,2.0,1.0,H,0.0,0.0,D,P Taylor,12.0,7.0,6.0,3.0,6.0,2.0,12.0,13.0,1.0,1.0,0.0,0.0,2,1,"19,598",8.727272727272730,2000,4,5,4,1.6666666666666700,1.3333333333333300,0.3333333333333330,1.0,0.0,1.3333333333333300,1.6666666666666700,1.3333333333333300,1.0,-1.0,0,1,0.0,0.0,,,,,,,,
38,06/09/2000,6,9,2000,4,Liverpool,Aston Villa,3.0,1.0,H,3.0,0.0,H,N Barry,11.0,9.0,7.0,4.0,8.0,7.0,13.0,7.0,0.0,2.0,0.0,0.0,1,1,"43,360",10.863157894736800,2000,4,4,2,1.3333333333333300,1.0,1.3333333333333300,0.5,1.6666666666666700,0.5,1.3333333333333300,1.0,-1.0,0.0,0,0,0.0,0.0,,,,,,,,
39,09/09/2000,9,9,2000,7,Bradford,Arsenal,1.0,1.0,D,1.0,0.0,H,A Wiley,9.0,18.0,5.0,11.0,4.0,10.0,17.0,13.0,0.0,2.0,0.0,0.0,2,2,"17,160",12.11111111111110,2000,4,4,3,1.0,1.75,0.5,2.25,1.75,1.5,1.0,1.75,-5.0,3.0,0,0,0.0,0.0,,,,,,,,
40,09/09/2000,9,9,2000,7,Coventry,Leeds,0.0,0.0,D,0.0,0.0,D,P Durkin,9.0,11.0,1.0,5.0,6.0,6.0,15.0,14.0,2.0,2.0,0.0,0.0,2,2,"20,377",8.818181818181820,2000,5,6,6,1.5,2.0,1.25,1.6666666666666700,1.75,1.0,1.5,2.0,-2.0,2.0,0,0,0.0,0.0,,,,,,,,
41,09/09/2000,9,9,2000,7,Ipswich,Aston Villa,1.0,2.0,A,0.0,1.0,A,A D'Urso,15.0,5.0,5.0,2.0,5.0,3.0,9.0,13.0,1.0,3.0,0.0,0.0,2,2,"20,665",12.565656565656600,2000,5,4,2,1.0,0.6666666666666670,1.0,0.6666666666666670,1.5,1.3333333333333300,1.0,0.6666666666666670,-2.0,-2.0,0,0,0.0,0.0,,,,,,,,
42,09/09/2000,9,9,2000,7,Leicester,Southampton,1.0,0.0,H,0.0,0.0,D,M Dean,17.0,9.0,6.0,5.0,10.0,6.0,6.0,9.0,0.0,0.0,0.0,0.0,2,2,"18,366",14.595365418894800,2000,5,8,3,2.0,0.75,0.75,1.75,0.25,2.0,2.0,0.75,2.0,-1.0,1,0,0.0,0.0,,,,,,,,
43,09/09/2000,9,9,2000,7,Liverpool,Man City,3.0,2.0,H,1.0,0.0,H,G Barber,14.0,9.0,8.0,7.0,9.0,4.0,17.0,17.0,3.0,4.0,0.0,0.0,2,2,"44,692",13.64102564102560,2000,5,7,6,1.75,1.5,1.75,1.75,1.5,2.25,1.75,1.5,1.0,-2.0,1,1,0.0,0.0,,,,,,,,
44,09/09/2000,9,9,2000,7,Man United,Sunderland,3.0,0.0,H,1.0,0.0,H,N Barry,15.0,5.0,7.0,1.0,4.0,4.0,18.0,14.0,1.0,3.0,0.0,0.0,2,2,"67,503",10.863157894736800,2000,5,8,4,2.0,1.0,2.75,1.0,0.75,1.5,2.0,1.0,8.0,-2.0,1,0,0.0,0.0,,,,,,,,
45,09/09/2000,9,9,2000,7,Middlesbrough,Everton,1.0,2.0,A,1.0,0.0,H,S Bennett,9.0,12.0,5.0,9.0,7.0,7.0,16.0,5.0,3.0,0.0,0.0,0.0,2,2,"30,885",13.553719008264500,2000,5,5,4,1.25,1.0,2.0,1.75,1.75,1.75,1.25,1.0,1.0,0.0,0,0,0.0,0.0,,,,,,,,
46,09/09/2000,9,9,2000,7,Newcastle,Chelsea,0.0,0.0,D,0.0,0.0,D,G Poll,10.0,10.0,4.0,3.0,5.0,6.0,17.0,21.0,0.0,3.0,0.0,0.0,2,2,"51,687",12.258064516129000,2000,5,9,5,2.25,1.25,1.75,1.75,1.0,1.75,2.25,1.25,3.0,0.0,3,0,0.0,0.0,,,,,,,,
47,10/09/2000,10,9,2000,1,Derby,Charlton,2.0,2.0,D,2.0,0.0,H,P Jones,12.0,10.0,6.0,6.0,4.0,11.0,17.0,12.0,3.0,1.0,0.0,0.0,1,1,"22,310",13.10344827586210,2000,5,3,4,0.75,1.0,2.25,2.0,2.5,2.25,0.75,1.0,-1.0,-1.0,0,0,0.0,0.0,,,,,,,,
48,11/09/2000,11,9,2000,2,Tottenham,West Ham,1.0,0.0,H,0.0,0.0,D,S Dunn,15.0,11.0,7.0,5.0,11.0,3.0,14.0,13.0,1.0,2.0,0.0,0.0,1,1,"33,282",11.070707070707100,2000,5,7,2,1.75,0.5,1.75,1.25,1.5,2.0,1.75,0.5,1.0,-3.0,1,0,0.0,0.0,,,,,,,,
49,16/09/2000,16,9,2000,7,Arsenal,Coventry,2.0,1.0,H,1.0,0.0,H,M Dean,18.0,6.0,13.0,2.0,8.0,4.0,5.0,13.0,1.0,2.0,0.0,0.0,3,2,"37,794",14.595365418894800,2000,5,4,6,1.6,1.4,2.0,1.0,1.4,1.4,1.6,1.4,3.0,-2.0,0,0,0.0,0.0,,,,,,,,
50,16/09/2000,16,9,2000,7,Aston Villa,Bradford,2.0,0.0,H,1.0,0.0,H,R Styles,12.0,8.0,7.0,4.0,5.0,6.0,8.0,12.0,0.0,2.0,0.0,0.0,2,2,"27,849",13.308056872037900,2000,6,5,5,1.25,1.0,1.0,0.6,1.25,1.6,1.25,1.0,-1.0,-5.0,1,0,0.0,0.0,,,,,,,,
51,16/09/2000,16,9,2000,7,Charlton,Tottenham,1.0,0.0,H,1.0,0.0,H,J Winter,9.0,10.0,5.0,5.0,7.0,5.0,8.0,10.0,0.0,0.0,0.0,0.0,2,2,"20,043",9.333333333333330,2000,6,5,10,1.0,2.0,2.0,1.6,2.2,1.2,1.0,2.0,-1.0,2.0,0,2,0.0,0.0,,,,,,,,
52,16/09/2000,16,9,2000,7,Everton,Man United,1.0,3.0,A,0.0,3.0,A,D Gallagher,6.0,17.0,4.0,9.0,6.0,5.0,10.0,11.0,4.0,1.0,0.0,0.0,2,3,"38,541",10.11023622047240,2000,6,7,11,1.4,2.2,1.8,2.8,1.6,0.6,1.4,2.2,1.0,11.0,1,2,0.0,0.0,,,,,,,,
53,16/09/2000,16,9,2000,7,Leeds,Ipswich,1.0,2.0,A,1.0,1.0,D,M Halsey,11.0,12.0,6.0,7.0,6.0,3.0,12.0,19.0,1.0,3.0,0.0,0.0,3,2,"35,552",8.69433962264151,2000,6,7,4,1.75,0.8,1.25,1.0,0.75,1.6,1.75,0.8,2.0,-3.0,0,0,0.0,0.0,,,,,,,,
54,16/09/2000,16,9,2000,7,Southampton,Newcastle,2.0,0.0,H,0.0,0.0,D,B Knight,13.0,10.0,9.0,7.0,4.0,8.0,14.0,14.0,0.0,0.0,0.0,0.0,2,2,"15,221",12.253968253968300,2000,6,3,10,0.6,2.0,1.4,1.4,1.8,0.8,0.6,2.0,-2.0,3.0,0,0,0.0,0.0,,,,,,,,
55,16/09/2000,16,9,2000,7,Sunderland,Derby,2.0,1.0,H,1.0,0.0,H,P Taylor,15.0,10.0,8.0,5.0,4.0,5.0,16.0,28.0,2.0,3.0,0.0,0.0,2,2,"45,343",8.727272727272730,2000,6,4,4,0.8,0.8,0.8,2.2,1.8,2.4,0.8,0.8,-5.0,-1.0,0,0,0.0,0.0,,,,,,,,
56,17/09/2000,17,9,2000,1,Chelsea,Leicester,0.0,2.0,A,0.0,1.0,A,G Barber,16.0,7.0,10.0,5.0,15.0,3.0,16.0,17.0,3.0,1.0,0.0,0.0,3,3,"33,697",13.64102564102560,2000,6,6,11,1.2,2.2,1.4,0.8,1.4,0.2,1.2,2.2,0.0,3.0,0,2,0.0,0.0,,,,,,,,
57,17/09/2000,17,9,2000,1,Man City,Middlesbrough,1.0,1.0,D,0.0,0.0,D,S Lodge,11.0,4.0,4.0,2.0,9.0,3.0,15.0,11.0,2.0,5.0,0.0,0.0,2,2,"32,053",11.555555555555600,2000,6,6,5,1.2,1.0,1.8,1.8,2.4,1.8,1.2,1.0,-3.0,0.0,0,0,0.0,0.0,,,,,,,,
58,17/09/2000,17,9,2000,1,West Ham,Liverpool,1.0,1.0,D,0.0,1.0,A,D Ellaray,15.0,7.0,4.0,2.0,9.0,0.0,5.0,13.0,0.0,2.0,0.0,0.0,2,3,"25,998",12.571428571428600,2000,6,2,10,0.4,2.0,1.0,2.0,1.8,1.6,0.4,2.0,-4.0,2.0,0,2,0.0,0.0,,,,,,,,
59,23/09/2000,23,9,2000,7,Bradford,Southampton,0.0,1.0,A,0.0,1.0,A,S Dunn,14.0,6.0,6.0,4.0,7.0,5.0,14.0,18.0,3.0,1.0,0.0,0.0,2,2,"16,163",11.070707070707100,2000,6,5,3,0.8333333333333330,1.0,0.5,1.5,1.6666666666666700,1.5,0.8333333333333330,1.0,-7.0,0.0,0,1,0.0,0.0,,,,,,,,
60,23/09/2000,23,9,2000,7,Coventry,West Ham,0.0,3.0,A,0.0,2.0,A,N Barry,9.0,12.0,2.0,10.0,5.0,6.0,12.0,11.0,0.0,1.0,0.0,0.0,2,2,"21,020",10.863157894736800,2000,7,7,3,1.1666666666666700,0.5,1.0,1.0,1.5,1.6666666666666700,1.1666666666666700,0.5,-3.0,-4.0,0,0,0.0,0.0,,,,,,,,
61,23/09/2000,23,9,2000,7,Derby,Leeds,1.0,1.0,D,0.0,1.0,A,B Knight,13.0,16.0,7.0,6.0,7.0,4.0,17.0,15.0,2.0,2.0,1.0,0.0,2,4,"26,248",12.253968253968300,2000,7,4,7,0.6666666666666670,1.4,2.0,1.2,2.3333333333333300,1.0,0.6666666666666670,1.4,-2.0,1.0,0,0,0.0,0.0,,,,,,,,
62,23/09/2000,23,9,2000,7,Ipswich,Arsenal,1.0,1.0,D,0.0,0.0,D,P Durkin,17.0,10.0,6.0,4.0,4.0,7.0,8.0,13.0,1.0,2.0,0.0,0.0,2,4,"22,030",8.818181818181820,2000,7,7,7,1.1666666666666700,1.8333333333333300,1.1666666666666700,2.0,1.5,1.3333333333333300,1.1666666666666700,1.8333333333333300,-2.0,4.0,1,1,0.0,0.0,,,,,,,,
63,23/09/2000,23,9,2000,7,Liverpool,Sunderland,1.0,1.0,D,1.0,1.0,D,M Riley,11.0,8.0,6.0,3.0,12.0,3.0,14.0,18.0,2.0,2.0,0.0,0.0,3,2,"44,713",14.965853658536600,2000,7,11,7,1.8333333333333300,1.1666666666666700,1.8333333333333300,1.0,1.5,1.6666666666666700,1.8333333333333300,1.1666666666666700,2.0,-4.0,0,1,0.0,0.0,,,,,,,,
64,23/09/2000,23,9,2000,7,Man United,Chelsea,3.0,3.0,D,3.0,2.0,H,P Jones,11.0,13.0,5.0,5.0,8.0,4.0,15.0,19.0,3.0,2.0,0.0,0.0,4,3,"67,568",13.10344827586210,2000,7,14,6,2.3333333333333300,1.0,2.8333333333333300,1.1666666666666700,0.6666666666666670,1.5,2.3333333333333300,1.0,13.0,-2.0,3,0,0.0,0.0,,,,,,,,
65,23/09/2000,23,9,2000,7,Middlesbrough,Aston Villa,1.0,1.0,D,0.0,0.0,D,M Halsey,12.0,15.0,5.0,7.0,5.0,5.0,7.0,14.0,3.0,0.0,0.0,0.0,2,2,"27,556",8.69433962264151,2000,7,6,8,1.0,1.6,1.6666666666666700,1.2,1.6666666666666700,1.0,1.0,1.6,0.0,1.0,0,2,0.0,0.0,,,,,,,,
66,23/09/2000,23,9,2000,7,Newcastle,Charlton,0.0,1.0,A,0.0,1.0,A,A D'Urso,12.0,4.0,5.0,2.0,4.0,7.0,14.0,10.0,1.0,2.0,0.0,0.0,2,2,"50,866",12.565656565656600,2000,7,10,8,1.6666666666666700,1.3333333333333300,1.1666666666666700,1.8333333333333300,1.0,1.8333333333333300,1.6666666666666700,1.3333333333333300,1.0,0.0,0,1,0.0,0.0,,,,,,,,
67,23/09/2000,23,9,2000,7,Tottenham,Man City,0.0,0.0,D,0.0,0.0,D,S Bennett,18.0,7.0,5.0,2.0,5.0,4.0,10.0,14.0,0.0,2.0,0.0,0.0,2,2,"36,069",13.553719008264500,2000,7,10,7,1.6666666666666700,1.1666666666666700,1.3333333333333300,1.6666666666666700,1.1666666666666700,2.1666666666666700,1.6666666666666700,1.1666666666666700,1.0,-3.0,0,0,0.0,0.0,,,,,,,,
