,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,H14,A14,Attendance,Strictness,Season,Round,Hpts,Apts,HTS,ATS,HGSR,AGSR,Home_DS,Away_DS,Home_Form_Points,Away_Form_Points,Home_Goal_Diff_Form,Away_Goal_Diff_Form,Home_Win_Streak,Away_Win_Streak,Home_H2H_Win_Rate,Away_H2H_Win_Rate,HTV($m),ATV($m),HTPos_avg,ATPos_avg,HSPE (%),HPE (%),ASPE (%),APE (%)
26,26/08/2000,Southampton,Liverpool,3.0,3.0,D,0.0,1.0,A,J Winter,14.0,9.0,7.0,4.0,7.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,2,2,"15,202",9.333333333333334,2000,3,1,3,0.5,1.5,1.5,0.5,2.0,1.0,0.5,1.5,-1.0,-1.0,0,0,0.0,0.0,,,,,,,,
27,26/08/2000,West Ham,Man United,2.0,2.0,D,0.0,1.0,A,D Gallagher,17.0,8.0,8.0,5.0,7.0,5.0,12.0,9.0,1.0,0.0,0.0,0.0,2,2,"25,988",10.11023622047244,2000,3,0,4,0.0,2.0,1.0,1.5,2.5,0.5,0.0,2.0,-3.0,2.0,0,0,0.0,0.0,,,,,,,,
28,27/08/2000,Aston Villa,Chelsea,1.0,1.0,D,1.0,1.0,D,P Durkin,12.0,11.0,9.0,7.0,7.0,10.0,13.0,12.0,0.0,1.0,0.0,0.0,1,2,"27,057",8.818181818181818,2000,3,1,3,1.0,1.5,0.0,2.0,0.0,2.0,1.0,1.5,0.0,0.0,0,0,0.0,0.0,,,,,,,,
29,05/09/2000,Leeds,Man City,1.0,2.0,A,0.0,2.0,A,G Poll,6.0,8.0,1.0,3.0,9.0,4.0,18.0,24.0,2.0,2.0,0.0,0.0,1,2,"40,055",12.258064516129032,2000,3,3,3,3.0,1.0,2.0,1.6666666666666667,0.5,2.6666666666666665,3.0,1.0,3.0,-3.0,2,0,0.0,0.0,,,,,,,,
30,05/09/2000,Man United,Bradford,6.0,0.0,H,2.0,0.0,H,I Harris,21.0,6.0,12.0,4.0,5.0,1.0,12.0,10.0,0.0,1.0,0.0,0.0,2,2,"66,447",4.0,2000,4,5,4,1.6666666666666667,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.0,0.3333333333333333,1.6666666666666667,1.3333333333333333,2.0,1.0,0,0,0.0,0.0,,,,,,,,
31,05/09/2000,Sunderland,West Ham,1.0,1.0,D,1.0,1.0,D,P Jones,17.0,16.0,7.0,9.0,4.0,11.0,19.0,14.0,2.0,3.0,0.0,0.0,2,2,"46,605",13.10344827586207,2000,4,3,1,1.0,0.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,2.3333333333333335,1.0,0.3333333333333333,-2.0,-3.0,0,0,0.0,0.0,,,,,,,,
32,05/09/2000,Tottenham,Everton,3.0,2.0,H,1.0,2.0,A,B Knight,11.0,11.0,7.0,6.0,7.0,5.0,11.0,10.0,1.0,2.0,0.0,0.0,2,2,"35,316",12.253968253968255,2000,4,4,4,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,1.0,0,0,0.0,0.0,,,,,,,,
33,06/09/2000,Charlton,Southampton,1.0,1.0,D,0.0,0.0,D,M Halsey,8.0,11.0,6.0,3.0,10.0,14.0,14.0,16.0,3.0,3.0,1.0,0.0,2,2,"20,043",8.69433962264151,2000,4,3,2,1.0,0.6666666666666666,2.3333333333333335,2.0,2.6666666666666665,2.3333333333333335,1.0,0.6666666666666666,-1.0,-1.0,0,0,0.0,0.0,,,,,,,,
34,06/09/2000,Chelsea,Arsenal,2.0,2.0,D,1.0,0.0,H,M Riley,12.0,13.0,5.0,5.0,7.0,6.0,16.0,22.0,3.0,1.0,0.0,0.0,1,1,"34,923",14.965853658536586,2000,4,4,3,1.3333333333333333,2.0,1.6666666666666667,2.3333333333333335,1.6666666666666667,1.3333333333333333,1.3333333333333333,2.0,0.0,3.0,0,2,0.0,0.0,,,,,,,,
35,06/09/2000,Coventry,Newcastle,0.0,2.0,A,0.0,1.0,A,A Wiley,13.0,13.0,3.0,6.0,6.0,8.0,11.0,18.0,1.0,1.0,0.0,0.0,2,2,"22,109",12.11111111111111,2000,4,6,6,2.0,2.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.3333333333333333,2.0,2.0,0.0,1.0,2,2,0.0,0.0,,,,,,,,
36,06/09/2000,Derby,Middlesbrough,3.0,3.0,D,0.0,1.0,A,R Styles,9.0,5.0,5.0,4.0,11.0,5.0,8.0,10.0,3.0,2.0,0.0,0.0,2,1,"24,290",13.308056872037914,2000,4,2,4,0.6666666666666666,1.3333333333333333,2.0,1.6666666666666667,2.3333333333333335,1.3333333333333333,0.6666666666666666,1.3333333333333333,-1.0,1.0,0,0,0.0,0.0,,,,,,,,
37,06/09/2000,Leicester,Ipswich,2.0,1.0,H,0.0,0.0,D,P Taylor,12.0,7.0,6.0,3.0,6.0,2.0,12.0,13.0,1.0,1.0,0.0,0.0,2,1,"19,598",8.727272727272727,2000,4,5,4,1.6666666666666667,1.3333333333333333,0.3333333333333333,1.0,0.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.0,-1.0,0,1,0.0,0.0,,,,,,,,
38,06/09/2000,Liverpool,Aston Villa,3.0,1.0,H,3.0,0.0,H,N Barry,11.0,9.0,7.0,4.0,8.0,7.0,13.0,7.0,0.0,2.0,0.0,0.0,1,1,"43,360",10.863157894736842,2000,4,4,2,1.3333333333333333,1.0,1.3333333333333333,0.5,1.6666666666666667,0.5,1.3333333333333333,1.0,-1.0,0.0,0,0,0.0,0.0,,,,,,,,
39,09/09/2000,Bradford,Arsenal,1.0,1.0,D,1.0,0.0,H,A Wiley,9.0,18.0,5.0,11.0,4.0,10.0,17.0,13.0,0.0,2.0,0.0,0.0,2,2,"17,160",12.11111111111111,2000,4,4,3,1.0,1.75,0.5,2.25,1.75,1.5,1.0,1.75,-5.0,3.0,0,0,0.0,0.0,,,,,,,,
40,09/09/2000,Coventry,Leeds,0.0,0.0,D,0.0,0.0,D,P Durkin,9.0,11.0,1.0,5.0,6.0,6.0,15.0,14.0,2.0,2.0,0.0,0.0,2,2,"20,377",8.818181818181818,2000,5,6,6,1.5,2.0,1.25,1.6666666666666667,1.75,1.0,1.5,2.0,-2.0,2.0,0,0,0.0,0.0,,,,,,,,
41,09/09/2000,Ipswich,Aston Villa,1.0,2.0,A,0.0,1.0,A,A D'Urso,15.0,5.0,5.0,2.0,5.0,3.0,9.0,13.0,1.0,3.0,0.0,0.0,2,2,"20,665",12.565656565656566,2000,5,4,2,1.0,0.6666666666666666,1.0,0.6666666666666666,1.5,1.3333333333333333,1.0,0.6666666666666666,-2.0,-2.0,0,0,0.0,0.0,,,,,,,,
42,09/09/2000,Leicester,Southampton,1.0,0.0,H,0.0,0.0,D,M Dean,17.0,9.0,6.0,5.0,10.0,6.0,6.0,9.0,0.0,0.0,0.0,0.0,2,2,"18,366",14.595365418894831,2000,5,8,3,2.0,0.75,0.75,1.75,0.25,2.0,2.0,0.75,2.0,-1.0,1,0,0.0,0.0,,,,,,,,
43,09/09/2000,Liverpool,Man City,3.0,2.0,H,1.0,0.0,H,G Barber,14.0,9.0,8.0,7.0,9.0,4.0,17.0,17.0,3.0,4.0,0.0,0.0,2,2,"44,692",13.64102564102564,2000,5,7,6,1.75,1.5,1.75,1.75,1.5,2.25,1.75,1.5,1.0,-2.0,1,1,0.0,0.0,,,,,,,,
44,09/09/2000,Man United,Sunderland,3.0,0.0,H,1.0,0.0,H,N Barry,15.0,5.0,7.0,1.0,4.0,4.0,18.0,14.0,1.0,3.0,0.0,0.0,2,2,"67,503",10.863157894736842,2000,5,8,4,2.0,1.0,2.75,1.0,0.75,1.5,2.0,1.0,8.0,-2.0,1,0,0.0,0.0,,,,,,,,
45,09/09/2000,Middlesbrough,Everton,1.0,2.0,A,1.0,0.0,H,S Bennett,9.0,12.0,5.0,9.0,7.0,7.0,16.0,5.0,3.0,0.0,0.0,0.0,2,2,"30,885",13.553719008264462,2000,5,5,4,1.25,1.0,2.0,1.75,1.75,1.75,1.25,1.0,1.0,0.0,0,0,0.0,0.0,,,,,,,,
46,09/09/2000,Newcastle,Chelsea,0.0,0.0,D,0.0,0.0,D,G Poll,10.0,10.0,4.0,3.0,5.0,6.0,17.0,21.0,0.0,3.0,0.0,0.0,2,2,"51,687",12.258064516129032,2000,5,9,5,2.25,1.25,1.75,1.75,1.0,1.75,2.25,1.25,3.0,0.0,3,0,0.0,0.0,,,,,,,,
47,10/09/2000,Derby,Charlton,2.0,2.0,D,2.0,0.0,H,P Jones,12.0,10.0,6.0,6.0,4.0,11.0,17.0,12.0,3.0,1.0,0.0,0.0,1,1,"22,310",13.10344827586207,2000,5,3,4,0.75,1.0,2.25,2.0,2.5,2.25,0.75,1.0,-1.0,-1.0,0,0,0.0,0.0,,,,,,,,
48,11/09/2000,Tottenham,West Ham,1.0,0.0,H,0.0,0.0,D,S Dunn,15.0,11.0,7.0,5.0,11.0,3.0,14.0,13.0,1.0,2.0,0.0,0.0,1,1,"33,282",11.070707070707071,2000,5,7,2,1.75,0.5,1.75,1.25,1.5,2.0,1.75,0.5,1.0,-3.0,1,0,0.0,0.0,,,,,,,,
49,16/09/2000,Arsenal,Coventry,2.0,1.0,H,1.0,0.0,H,M Dean,18.0,6.0,13.0,2.0,8.0,4.0,5.0,13.0,1.0,2.0,0.0,0.0,3,2,"37,794",14.595365418894831,2000,5,4,6,1.6,1.4,2.0,1.0,1.4,1.4,1.6,1.4,3.0,-2.0,0,0,0.0,0.0,,,,,,,,
50,16/09/2000,Aston Villa,Bradford,2.0,0.0,H,1.0,0.0,H,R Styles,12.0,8.0,7.0,4.0,5.0,6.0,8.0,12.0,0.0,2.0,0.0,0.0,2,2,"27,849",13.308056872037914,2000,6,5,5,1.25,1.0,1.0,0.6,1.25,1.6,1.25,1.0,-1.0,-5.0,1,0,0.0,0.0,,,,,,,,
51,16/09/2000,Charlton,Tottenham,1.0,0.0,H,1.0,0.0,H,J Winter,9.0,10.0,5.0,5.0,7.0,5.0,8.0,10.0,0.0,0.0,0.0,0.0,2,2,"20,043",9.333333333333334,2000,6,5,10,1.0,2.0,2.0,1.6,2.2,1.2,1.0,2.0,-1.0,2.0,0,2,0.0,0.0,,,,,,,,
52,16/09/2000,Everton,Man United,1.0,3.0,A,0.0,3.0,A,D Gallagher,6.0,17.0,4.0,9.0,6.0,5.0,10.0,11.0,4.0,1.0,0.0,0.0,2,3,"38,541",10.11023622047244,2000,6,7,11,1.4,2.2,1.8,2.8,1.6,0.6,1.4,2.2,1.0,11.0,1,2,0.0,0.0,,,,,,,,
53,16/09/2000,Leeds,Ipswich,1.0,2.0,A,1.0,1.0,D,M Halsey,11.0,12.0,6.0,7.0,6.0,3.0,12.0,19.0,1.0,3.0,0.0,0.0,3,2,"35,552",8.69433962264151,2000,6,7,4,1.75,0.8,1.25,1.0,0.75,1.6,1.75,0.8,2.0,-3.0,0,0,0.0,0.0,,,,,,,,
54,16/09/2000,Southampton,Newcastle,2.0,0.0,H,0.0,0.0,D,B Knight,13.0,10.0,9.0,7.0,4.0,8.0,14.0,14.0,0.0,0.0,0.0,0.0,2,2,"15,221",12.253968253968255,2000,6,3,10,0.6,2.0,1.4,1.4,1.8,0.8,0.6,2.0,-2.0,3.0,0,0,0.0,0.0,,,,,,,,
