Date,HomeTeam,AwayTeam,FTHG,FTAG,Attendance
20/02/2007,Lille,Man United,0,1,
20/02/2007,PSV Eindhoven,Arsenal,1,0,
21/02/2007,Barcelona,Liverpool,1,2,
21/02/2007,Porto,Chelsea,1,1,
06/03/2007,Chelsea,Porto,2,1,
06/03/2007,Liverpool,Barcelona,0,1,
07/03/2007,Arsenal,PSV Eindhoven,1,1,
07/03/2007,Man United,Lille,1,0,
03/04/2007,PSV Eindhoven,Liverpool,0,3,
04/04/2007,Chelsea,Valencia,1,1,
04/04/2007,Roma,Man United,2,1,
10/04/2007,Man United,Roma,7,1,
10/04/2007,Valencia,Chelsea,1,2,
11/04/2007,Liverpool,PSV Eindhoven,1,0,
24/04/2007,Man United,Milan,3,2,
25/04/2007,Chelsea,Liverpool,1,0,
01/05/2007,Liverpool,Chelsea,(,),
02/05/2007,Milan,Man United,3,0,
23/05/2007,Milan,Liverpool,2,1,
18/09/2007,Chelsea,Rosenborg,1,1,
18/09/2007,Porto,Liverpool,1,1,
19/09/2007,Arsenal,Sevilla,3,0,
19/09/2007,Sporting CP,Man United,0,1,
02/10/2007,Man United,Roma,1,0,
02/10/2007,Steaua,Arsenal,0,1,
03/10/2007,Liverpool,Marseille,0,1,
03/10/2007,Valencia,Chelsea,1,2,
23/10/2007,Arsenal,Slavia Prague,7,0,
23/10/2007,Dynamo Kyiv,Man United,2,4,
24/10/2007,Beşiktaş,Liverpool,2,1,
24/10/2007,Chelsea,Schalke 04,2,0,
06/11/2007,Liverpool,Beşiktaş,8,0,
06/11/2007,Schalke 04,Chelsea,0,0,
07/11/2007,Man United,Dynamo Kyiv,4,0,
07/11/2007,Slavia Prague,Arsenal,0,0,
27/11/2007,Man United,Sporting CP,2,1,
27/11/2007,Sevilla,Arsenal,3,1,
28/11/2007,Liverpool,Porto,4,1,
28/11/2007,Rosenborg,Chelsea,0,4,
11/12/2007,Chelsea,Valencia,0,0,
11/12/2007,Marseille,Liverpool,0,4,
12/12/2007,Arsenal,Steaua,2,1,
12/12/2007,Roma,Man United,1,1,
19/02/2008,Liverpool,Inter,2,0,
19/02/2008,Olympiacos,Chelsea,0,0,
20/02/2008,Arsenal,Milan,0,0,
20/02/2008,Lyon,Man United,1,1,
04/03/2008,Man United,Lyon,1,0,
04/03/2008,Milan,Arsenal,0,2,
05/03/2008,Chelsea,Olympiacos,3,0,
11/03/2008,Inter,Liverpool,0,1,
01/04/2008,Roma,Man United,0,2,
02/04/2008,Arsenal,Liverpool,1,1,
02/04/2008,Fenerbahçe,Chelsea,2,1,
08/04/2008,Chelsea,Fenerbahçe,2,0,
08/04/2008,Liverpool,Arsenal,4,2,
09/04/2008,Man United,Roma,1,0,
22/04/2008,Liverpool,Chelsea,1,1,
23/04/2008,Barcelona,Man United,0,0,
29/04/2008,Man United,Barcelona,1,0,
30/04/2008,Chelsea,Liverpool,3,2,
21/05/2008,Man United,Chelsea,(,),
16/09/2008,Chelsea,Bordeaux,4,0,
16/09/2008,Marseille,Liverpool,1,2,
17/09/2008,Dynamo Kyiv,Arsenal,1,1,
